"family","taxon","author"
"Acanthaceae","Avicennia alba","Blume"
"Acanthaceae","Avicennia marina","(Forssk.) Vierh."
"Acanthaceae","Avicennia officinalis","L."
"Achariaceae","Hydnocarpus alcalae","C.DC."
"Achariaceae","Hydnocarpus cauliflorus","Merr."
"Achariaceae","Hydnocarpus heterophyllus","Blume"
"Achariaceae","Hydnocarpus polypetalus","(Slooten) Sleumer"
"Achariaceae","Hydnocarpus subfalcata","Merr."
"Achariaceae","Hydnocarpus sumatranus","(Miq.) Koord."
"Achariaceae","Pangium edule","Reinw."
"Achariaceae","Ryparosa cauliflora","Merr."
"Achariaceae","Trichadenia philippinensis","Merr."
"Actinidiaceae","Saurauia alvarezii","Merr."
"Actinidiaceae","Saurauia ampla","Merr."
"Actinidiaceae","Saurauia bakeri","Merr."
"Actinidiaceae","Saurauia clementis","Merr."
"Actinidiaceae","Saurauia copelandii","Elmer"
"Actinidiaceae","Saurauia elegans","(Choisy) Fern.-Vill."
"Actinidiaceae","Saurauia elmeri","Merr."
"Actinidiaceae","Saurauia fasciculiflora","Merr."
"Actinidiaceae","Saurauia klemmei","Merr."
"Actinidiaceae","Saurauia knemifolia","Quisumb."
"Actinidiaceae","Saurauia latibractea","Choisy"
"Actinidiaceae","Saurauia longistyla","Merr."
"Actinidiaceae","Saurauia macgregorii","Merr."
"Actinidiaceae","Saurauia oblancilimba","Quisumb."
"Actinidiaceae","Saurauia panayensis","Merr."
"Actinidiaceae","Saurauia panduriformis","Elmer"
"Actinidiaceae","Saurauia papillulosa","Merr."
"Actinidiaceae","Saurauia philippinensis","Merr."
"Actinidiaceae","Saurauia polysperma","(Blanco) Merr."
"Actinidiaceae","Saurauia sampad","Elmer"
"Actinidiaceae","Saurauia sparsiflora","Elmer"
"Actinidiaceae","Saurauia trunciflora","Merr."
"Actinidiaceae","Saurauia urdanetensis","Elmer"
"Actinidiaceae","Saurauia vanoverberghii","Merr."
"Anacardiaceae","Buchanania arborescens","(Blume) Blume"
"Anacardiaceae","Buchanania insignis","Blume"
"Anacardiaceae","Buchanania microphylla","Engl."
"Anacardiaceae","Buchanania nitida","Engl."
"Anacardiaceae","Dracontomelon dao","(Blanco) Merr. & Rolfe"
"Anacardiaceae","Koordersiodendron pinnatum","Merr."
"Anacardiaceae","Mangifera altissima","Blanco"
"Anacardiaceae","Mangifera caesia","Jack"
"Anacardiaceae","Mangifera laurina","Blume"
"Anacardiaceae","Mangifera merrillii","Mukherji"
"Anacardiaceae","Mangifera monandra","Merr."
"Anacardiaceae","Mangifera odorata","Griff."
"Anacardiaceae","Parishia maingayi","Hook.f."
"Anacardiaceae","Parishia malabog","Merr."
"Anacardiaceae","Pleiogynium timoriense","(DC.) Leenh."
"Anacardiaceae","Rhus taitensis","Guill."
"Anacardiaceae","Semecarpus bunburyanus","Gibbs"
"Anacardiaceae","Semecarpus cuneiformis","Blanco"
"Anacardiaceae","Semecarpus densiflorus","(Merr.) Steenis"
"Anacardiaceae","Semecarpus forstenii","Blume"
"Anacardiaceae","Semecarpus glauciphyllus","Elmer"
"Anacardiaceae","Semecarpus longifolius","Blume"
"Anacardiaceae","Semecarpus macrophyllus","Merr."
"Anacardiaceae","Semecarpus paucinervius","Merr."
"Anacardiaceae","Semecarpus stenophyllus","Merr."
"Anacardiaceae","Semecarpus trachyphyllus","Perkins"
"Anacardiaceae","Solenocarpus philippinensis","(Elmer) Kosterm."
"Anacardiaceae","Spondias dulcis","Parkinson"
"Anacardiaceae","Spondias malayana","Kosterm."
"Anacardiaceae","Spondias pinnata","(L. f.) Kurz"
"Anacardiaceae","Swintonia acuta","Engl."
"Anacardiaceae","Swintonia foxworthyi","Elmer"
"Anacardiaceae","Swintonia spicifera","Hook.f."
"Annonaceae","Alphonsea javanica","Scheff."
"Annonaceae","Anaxagorea javanica","Blume"
"Annonaceae","Anaxagorea luzonensis","A.Gray"
"Annonaceae","Cananga odorata","(Lam.) Hook.f. & Thomson"
"Annonaceae","Cyathocalyx globosus","Merr."
"Annonaceae","Dasymaschalon clusiflorum","(Merr.) Merr."
"Annonaceae","Drepananthus acuminatus","(C.B.Rob.) Survesw. & R.M.K.Saunders"
"Annonaceae","Drepananthus apoensis","Elmer"
"Annonaceae","Drepananthus crassipetalus","(R.J.Wang & R.M.K.Saunders) Survesw. & R.M.K.Saunders"
"Annonaceae","Drepananthus samarensis","(R.J.Wang & R.M.K.Saunders) Survesw. & R.M.K.Saunders"
"Annonaceae","Goniothalamus amuyon","(Blanco) Merr."
"Annonaceae","Goniothalamus catanduanensis","Quisumb."
"Annonaceae","Goniothalamus copelandii","Merr."
"Annonaceae","Goniothalamus dolichopetalus","Merr."
"Annonaceae","Goniothalamus elmeri","Merr."
"Annonaceae","Goniothalamus gigantifolius","Merr."
"Annonaceae","Goniothalamus lancifolius","Merr."
"Annonaceae","Goniothalamus longistylus","Merr."
"Annonaceae","Goniothalamus magnificus","Elmer"
"Annonaceae","Goniothalamus mindorensis","Merr."
"Annonaceae","Goniothalamus obtusifolius","Merr."
"Annonaceae","Goniothalamus palawanensis","C.C.Tang & R.M.K.Saunders"
"Annonaceae","Goniothalamus panayensis","Merr."
"Annonaceae","Goniothalamus philippinensis","Merr."
"Annonaceae","Goniothalamus puncticulifolius","Merr."
"Annonaceae","Goniothalamus sibuyanensis","(Elmer) Merr."
"Annonaceae","Goniothalamus suluensis","Merr."
"Annonaceae","Goniothalamus trunciflorus","Merr."
"Annonaceae","Huberantha flava","(Merr.) I.M.Turner"
"Annonaceae","Huberantha jenkinsii","(Hook.f. & Thomson) Chaowasku"
"Annonaceae","Huberantha palawanensis","(Merr.) I.M.Turner"
"Annonaceae","Huberantha rumphii","(Blume ex Hensch.) Chaowasku"
"Annonaceae","Maasia glauca","(Hassk.) Mols, Kessler & Rogstad"
"Annonaceae","Miliusa horsfieldii","(Bennett) Baill. ex Pierre"
"Annonaceae","Mitrephora basilanensis","Merr."
"Annonaceae","Mitrephora cagayanensis","Merr."
"Annonaceae","Mitrephora fragrans","Merr."
"Annonaceae","Mitrephora lanotan","Merr."
"Annonaceae","Mitrephora multifolia","Elmer"
"Annonaceae","Mitrephora pictiflora","Elmer"
"Annonaceae","Mitrephora reflexa","Merr."
"Annonaceae","Mitrephora samarensis","Merr."
"Annonaceae","Mitrephora sorsogonensis","Elmer"
"Annonaceae","Mitrephora weberi","Merr."
"Annonaceae","Mitrephora williamsii","C.B.Rob."
"Annonaceae","Monoon barnesii","(Merr.) B.Xue & R.M.K.Saunders"
"Annonaceae","Monoon mindanaense","(Elmer) B.Xue & R.M.K.Saunders"
"Annonaceae","Monoon oblongifolium","(C.B. Rob.) B. Xue & R.M.K. Saunders"
"Annonaceae","Monoon zamboangaense","(Merr.) B.Xue & R.M.K.Saunders"
"Annonaceae","Neo-uvaria parallelivenia","(Boerl.) H.Okada & K.Ueda"
"Annonaceae","Neo-uvaria viridifolia","(Elmer) Chaowasku"
"Annonaceae","Orophea corymbosa","(Blume) Zoll."
"Annonaceae","Orophea creaghii","(Ridl.) Leonardía & Kessler"
"Annonaceae","Orophea cumingiana","S. Vidal"
"Annonaceae","Orophea glabra","Merr."
"Annonaceae","Orophea leytensis","Merr."
"Annonaceae","Orophea megalophylla","P.J.A.Kessler"
"Annonaceae","Orophea merrillii","P.J.A.Kessler"
"Annonaceae","Orophea sericea","P.J.A.Kessler"
"Annonaceae","Orophea wenzelii","Merr."
"Annonaceae","Phaeanthus ophthalmicus","(Roxb. ex G.Don) J.Sinclair"
"Annonaceae","Polyalthia gracilipes","Merr."
"Annonaceae","Polyalthia insignis","(Hook.f.) Airy Shaw"
"Annonaceae","Polyalthia microtus","Miq."
"Annonaceae","Polyalthia mindorensis","Merr."
"Annonaceae","Polyalthia suberosa","(Roxb.) Thwaites"
"Annonaceae","Polyalthia venosa","Merr."
"Annonaceae","Popowia lanceolata","Merr."
"Annonaceae","Popowia pisocarpa","(Blume) Endl. ex Walp."
"Annonaceae","Pseuduvaria luzoniensis","(Merr.) Y.C.F.Su & R.M.K.Saunders"
"Annonaceae","Pseuduvaria macgregorii","Merr."
"Annonaceae","Pseuduvaria mindorensis","Y.C.F.Su & R.M.K.Saunders"
"Annonaceae","Pseuduvaria pamattonis","(Miq.) Y.C.F.Su & R.M.K.Saunders"
"Annonaceae","Pseuduvaria philippinensis","Merr."
"Annonaceae","Pseuduvaria unguiculata","Y.C.F.Su & R.M.K.Saunders"
"Annonaceae","Sageraea lanceolata","Miq."
"Annonaceae","Sphaerocoryne affinis","(Teijsm. & Binn.) Ridl."
"Annonaceae","Xylopia dehiscens","(Blanco) Merr."
"Annonaceae","Xylopia densifolia","Elmer"
"Annonaceae","Xylopia sumatrana","(Miq.) D.M.Johnson & N.A.Murray"
"Apocynaceae","Alstonia angustifolia","Wall. ex A.DC."
"Apocynaceae","Alstonia iwahigensis","Elmer"
"Apocynaceae","Alstonia macrophylla","Wall. ex G.Don"
"Apocynaceae","Alstonia parvifolia","Merr."
"Apocynaceae","Alstonia scholaris","(L.) R.Br."
"Apocynaceae","Alstonia spatulata","Blume"
"Apocynaceae","Alstonia spectabilis","R.Br."
"Apocynaceae","Cerbera manghas","L."
"Apocynaceae","Cerbera odollam","Gaertn."
"Apocynaceae","Kibatalia arborea","(Blume) G.Don"
"Apocynaceae","Kibatalia blancoi","(Rolfe ex Stapf) Merr."
"Apocynaceae","Kibatalia elmeri","Woodson"
"Apocynaceae","Kibatalia gitingensis","(Elmer) Woodson"
"Apocynaceae","Kibatalia longifolia","Merr."
