"","taxon.ORIG","species","changed"
"1","Avicennia alba","Avicennia alba",NA
"2","Avicennia marina","Avicennia marina",NA
"3","Avicennia officinalis","Avicennia officinalis",NA
"4","Hydnocarpus alcalae","Hydnocarpus alcalae",NA
"5","Hydnocarpus cauliflorus","Hydnocarpus cauliflora","updated"
"6","Hydnocarpus heterophyllus","Hydnocarpus heterophyllus",NA
"7","Hydnocarpus polypetalus","Hydnocarpus polypetalus",NA
"8","Hydnocarpus subfalcata","Hydnocarpus subfalcata",NA
"9","Hydnocarpus sumatranus","Hydnocarpus sumatrana","updated"
"10","Pangium edule","Pangium edule",NA
"11","Ryparosa cauliflora","Ryparosa cauliflora",NA
"12","Trichadenia philippinensis","Trichadenia philippinensis",NA
"13","Saurauia alvarezii","Saurauia alvarezii",NA
"14","Saurauia ampla","Saurauia ampla",NA
"15","Saurauia bakeri","Saurauia bakeri",NA
"16","Saurauia clementis","Saurauia clementis",NA
"17","Saurauia copelandii","Saurauia copelandii",NA
"18","Saurauia elegans","Saurauia elegans",NA
"19","Saurauia elmeri","Saurauia elmeri",NA
"20","Saurauia fasciculiflora","Saurauia fasciculiflora",NA
"21","Saurauia klemmei","Saurauia klemmei",NA
"22","Saurauia knemifolia","Saurauia knemifolia",NA
"23","Saurauia latibractea","Saurauia latibractea",NA
"24","Saurauia longistyla","Saurauia longistyla",NA
"25","Saurauia macgregorii","Saurauia macgregorii",NA
"26","Saurauia oblancilimba","Saurauia oblancilimba",NA
"27","Saurauia panayensis","Saurauia panayensis",NA
"28","Saurauia panduriformis","Saurauia panduriformis",NA
"29","Saurauia papillulosa","Saurauia papillulosa",NA
"30","Saurauia philippinensis","Saurauia philippinensis",NA
"31","Saurauia polysperma","Saurauia polysperma",NA
"32","Saurauia sampad","Saurauia sampad",NA
"33","Saurauia sparsiflora","Saurauia sparsiflora",NA
"34","Saurauia trunciflora","Saurauia trunciflora",NA
"35","Saurauia urdanetensis","Saurauia urdanetensis",NA
"36","Saurauia vanoverberghii","Saurauia vanoverberghii",NA
"37","Buchanania arborescens","Buchanania arborescens",NA
"39","Buchanania insignis","Buchanania insignis",NA
"40","Buchanania microphylla","Buchanania microphylla",NA
"41","Buchanania nitida","Buchanania nitida",NA
"42","Dracontomelon dao","Dracontomelon dao",NA
"43","Koordersiodendron pinnatum","Koordersiodendron pinnatum",NA
"44","Mangifera altissima","Mangifera altissima",NA
"45","Mangifera caesia","Mangifera caesia",NA
"46","Mangifera laurina","Mangifera indica","updated"
"47","Mangifera merrillii","Mangifera merrillii",NA
"48","Mangifera monandra","Mangifera monandra",NA
"49","Mangifera odorata","Mangifera odorata",NA
"50","Parishia maingayi","Parishia maingayi",NA
"51","Parishia malabog","Parishia malabog",NA
"52","Pleiogynium timoriense","Pleiogynium timoriense",NA
"53","Rhus taitensis","Rhus taitensis",NA
"54","Semecarpus bunburyanus","Semecarpus bunburyana","updated"
"55","Semecarpus cuneiformis","Semecarpus cuneiformis",NA
"56","Semecarpus densiflorus","Semecarpus densiflorus",NA
"57","Semecarpus forstenii","Semecarpus forstenii",NA
"58","Semecarpus glauciphyllus","Semecarpus glauciphylla","updated"
"60","Semecarpus longifolius","Semecarpus longifolia","updated"
"61","Semecarpus macrophyllus","Semecarpus macrophylla","updated"
"62","Semecarpus paucinervius","Semecarpus paucinervia","updated"
"63","Semecarpus stenophyllus","Semecarpus stenophyllus",NA
"64","Semecarpus trachyphyllus","Semecarpus trachyphylla","updated"
"65","Solenocarpus philippinensis","Solenocarpus philippinensis",NA
"66","Spondias dulcis","Spondias dulcis",NA
"67","Spondias malayana","Spondias malayana",NA
"68","Spondias pinnata","Spondias pinnata",NA
"69","Swintonia acuta","Swintonia acuta",NA
"70","Swintonia foxworthyi","Swintonia foxworthyi",NA
"71","Swintonia spicifera","Swintonia spicifera",NA
"72","Alphonsea javanica","Alphonsea javanica",NA
"73","Anaxagorea javanica","Anaxagorea javanica",NA
"74","Anaxagorea luzonensis","Anaxagorea luzonensis",NA
"75","Cananga odorata","Cananga odorata",NA
"76","Cyathocalyx globosus","Cyathocalyx globosus",NA
"77","Dasymaschalon clusiflorum","Dasymaschalon clusiflorum",NA
"78","Drepananthus acuminatus","Drepananthus acuminatus",NA
"79","Drepananthus apoensis","Drepananthus apoensis",NA
"80","Drepananthus crassipetalus","Drepananthus crassipetalus",NA
"81","Drepananthus samarensis","Drepananthus samarensis",NA
"82","Goniothalamus amuyon","Goniothalamus amuyon",NA
"83","Goniothalamus catanduanensis","Goniothalamus catanduanensis",NA
"84","Goniothalamus copelandii","Goniothalamus copelandii",NA
"85","Goniothalamus dolichopetalus","Goniothalamus dolichopetalus",NA
"86","Goniothalamus elmeri","Goniothalamus elmeri",NA
"87","Goniothalamus gigantifolius","Goniothalamus gigantifolius",NA
"88","Goniothalamus lancifolius","Goniothalamus lancifolius",NA
"89","Goniothalamus longistylus","Goniothalamus longistylus",NA
"90","Goniothalamus magnificus","Goniothalamus magnificus",NA
"91","Goniothalamus mindorensis","Goniothalamus mindorensis",NA
"92","Goniothalamus obtusifolius","Goniothalamus obtusifolius",NA
"93","Goniothalamus palawanensis","Goniothalamus palawanensis",NA
"94","Goniothalamus panayensis","Goniothalamus panayensis",NA
"95","Goniothalamus philippinensis","Goniothalamus philippinensis",NA
"96","Goniothalamus puncticulifolius","Goniothalamus puncticulifolius",NA
"97","Goniothalamus sibuyanensis","Goniothalamus sibuyanensis",NA
"98","Goniothalamus suluensis","Goniothalamus suluensis",NA
"99","Goniothalamus trunciflorus","Goniothalamus trunciflorus",NA
"100","Huberantha flava","Huberantha flava",NA
"101","Huberantha jenkinsii","Huberantha jenkinsii",NA
"102","Huberantha palawanensis","Huberantha palawanensis",NA
"103","Huberantha rumphii","Huberantha rumphii",NA
"104","Maasia glauca","Maasia glauca",NA
"105","Miliusa horsfieldii","Miliusa horsfieldii",NA
"106","Mitrephora basilanensis","Mitrephora basilanensis",NA
"107","Mitrephora cagayanensis","Mitrephora cagayanensis",NA
"108","Mitrephora fragrans","Mitrephora fragrans",NA
"109","Mitrephora lanotan","Mitrephora lanotan",NA
"111","Mitrephora multifolia","Mitrephora multifolia",NA
"112","Mitrephora pictiflora","Mitrephora pictiflora",NA
"113","Mitrephora reflexa","Mitrephora reflexa",NA
"114","Mitrephora samarensis","Mitrephora samarensis",NA
"116","Mitrephora sorsogonensis","Mitrephora sorsogonensis",NA
"117","Mitrephora weberi","Mitrephora weberi",NA
"118","Mitrephora williamsii","Mitrephora williamsii",NA
"119","Monoon barnesii","Monoon barnesii",NA
"120","Monoon mindanaense","Monoon mindanaense",NA
"121","Monoon oblongifolium","Monoon oblongifolium",NA
